Keyword,Count,Ratio
ạ,2228,0.0323
đi,1288,0.0187
tên,1229,0.0178
chị,1073,0.0155
là,1068,0.0155
sao,971,0.0141
thì,932,0.0135
có,835,0.0121
tiếng,641,0.0093
em,639,0.0093
trung,630,0.0091
học,604,0.0087
ko,562,0.0081
đọc,506,0.0073
mình,485,0.0070
từ,451,0.0065
muốn,398,0.0058
e,389,0.0056
mà,389,0.0056
ơi,382,0.0055
nói,351,0.0051
người,349,0.0051
xem,338,0.0049
nghe,329,0.0048
bạn,328,0.0047
và,324,0.0047
vậy,322,0.0047
của,315,0.0046
k,312,0.0045
như,307,0.0044
hay,307,0.0044
phim,292,0.0042
cho,285,0.0041
này,275,0.0040
nữa,275,0.0040
nào,269,0.0039
biết,268,0.0039
tôi,267,0.0039
vì,261,0.0038
với,255,0.0037
gì,253,0.0037
tui,248,0.0036
quá,245,0.0035
cũng,244,0.0035
đc,241,0.0035
ik,238,0.0034
còn,237,0.0034
cj,235,0.0034
không,229,0.0033
ai,227,0.0033
anh,227,0.0033
cô,224,0.0032
luôn,224,0.0032
trung_quốc,223,0.0032
đâu,221,0.0032
hiểu,210,0.0030
đó,209,0.0030
việt,206,0.0030
thích,204,0.0030
nhiều,203,0.0029
mấy,195,0.0028
hỏi,192,0.0028
ở,189,0.0027
rồi,186,0.0027
idol,181,0.0026
1,179,0.0026
cái,176,0.0025
nè,173,0.0025
được,169,0.0024
rất,165,0.0024
c,165,0.0024
hết,164,0.0024
cửa,161,0.0023
thấy,159,0.0023
gặp,158,0.0023
chi,155,0.0022
phải,152,0.0022
nó,149,0.0022
nhất,147,0.0021
tq,147,0.0021
để,146,0.0021
ra,144,0.0021
câu,144,0.0021
wo,144,0.0021
t,141,0.0020
dương,139,0.0020
tặng,137,0.0020
lại,135,0.0020
nha,134,0.0019
làm,133,0.0019
vs,125,0.0018
ng,125,0.0018
giống,124,0.0018
đúng,123,0.0018
dịch,119,0.0017
chỉ,117,0.0017
r,115,0.0017
sư_phụ,115,0.0017
coi,115,0.0017
v,114,0.0017
nên,113,0.0016
vương,112,0.0016
ni,110,0.0016
hảo,109,0.0016
ăn,109,0.0016
dùng,107,0.0015
2,106,0.0015
tung,104,0.0015
bởi_vì,103,0.0015
mới,102,0.0015
j,101,0.0015
la,101,0.0015
khi,101,0.0015
ta,100,0.0014
trong,99,0.0014
dạy,98,0.0014
cần,98,0.0014
dễ,97,0.0014
gia,97,0.0014
ủa,96,0.0014
gọi,96,0.0014
á,96,0.0014
3,95,0.0014
thôi,94,0.0014
yêu,94,0.0014
nhưng,93,0.0013
ma,92,0.0013
chứ,92,0.0013
tả,92,0.0013
a,92,0.0013
họ,91,0.0013
toàn,90,0.0013
đã,89,0.0013
an,89,0.0013
viết,88,0.0013
hoa,88,0.0013
bt,88,0.0013
thiên,88,0.0013
lắm,87,0.0013
đây,87,0.0013
đến,87,0.0013
chiến,86,0.0012
bộ,86,0.0012
các,85,0.0012
vẫn,85,0.0012
vy,85,0.0012
luân,83,0.0012
ntn,82,0.0012
mik,82,0.0012
ý,81,0.0012
những,80,0.0012
trang,80,0.0012
sang,79,0.0011
bên,79,0.0011
hả,78,0.0011
tiêu,77,0.0011
khải,77,0.0011
cả,76,0.0011
giúp,75,0.0011
cảm_ơn,75,0.0011
hán,75,0.0011
chưa,75,0.0011
chu,75,0.0011
thế,74,0.0011
ấy,74,0.0011
my,74,0.0011
video,73,0.0011
cải_cách,73,0.0011
mk,73,0.0011
nhỉ,72,0.0010
nhớ,72,0.0010
phát_âm,72,0.0010
nhậm,72,0.0010
ak,72,0.0010
lão,70,0.0010
xin,70,0.0010
tao,70,0.0010
đẹp,70,0.0010
khác,69,0.0010
b,69,0.0010
le,69,0.0010
cách,68,0.0010
hân,68,0.0010
tfboys,68,0.0010
tuấn,67,0.0010
qua,66,0.0010
nghĩa,66,0.0010
đang,66,0.0010
nguyên,66,0.0010
bảo,65,0.0009
thư,65,0.0009
sai,63,0.0009
một,63,0.0009
ngọc,63,0.0009
hơn,62,0.0009
à,62,0.0009
uyên,62,0.0009
ní,61,0.0009
chữ,60,0.0009
tua,60,0.0009
thanh,60,0.0009
thêm,59,0.0009
mỗi,59,0.0009
ca,59,0.0009
mi,59,0.0009
bị,59,0.0009
nhé,59,0.0009
s,59,0.0009
dc,58,0.0008
mai,58,0.0008
nhi,58,0.0008
về,57,0.0008
thành,57,0.0008
bác,57,0.0008
trai,57,0.0008
sẽ,56,0.0008
cung,55,0.0008
kiểu,55,0.0008
bài,54,0.0008
nga,54,0.0008
thật,53,0.0008
công_an,53,0.0008
cại,53,0.0008
lý,53,0.0008
quyên,53,0.0008
quỳnh,53,0.0008
ánh,52,0.0008
nỉ,52,0.0008
công,51,0.0007
đầu,51,0.0007
phương,51,0.0007
linh,50,0.0007
lun,50,0.0007
bu,50,0.0007
vào,50,0.0007
wechat,50,0.0007
sư,49,0.0007
5,49,0.0007
kìa,49,0.0007
có_thể,49,0.0007
châu,48,0.0007
con,47,0.0007
thiếu,47,0.0007
mn,47,0.0007
vietsub,47,0.0007
vũ,47,0.0007
tiền,47,0.0007
ck,46,0.0007
liền,46,0.0007
nhau,46,0.0007
trần,46,0.0007
app,46,0.0007
đấy,45,0.0007
nhà,45,0.0007
chuẩn,45,0.0007
cứ,45,0.0007
đồng_hồ,45,0.0007
sb,45,0.0007
mong,44,0.0006
m,44,0.0006
năm,44,0.0006
theo,44,0.0006
cx,44,0.0006
chj,44,0.0006
z,44,0.0006
hà,44,0.0006
trên,43,0.0006
nghi,43,0.0006
quét,43,0.0006
hoan,43,0.0006
trân,43,0.0006
giao_tiếp,42,0.0006
huyền,41,0.0006
thế_nào,41,0.0006
vân,41,0.0006
trước,41,0.0006
happy,41,0.0006
yến,41,0.0006
ngân,40,0.0006
minh,40,0.0006
nhật,40,0.0006
phát,40,0.0006
hề,40,0.0006
thi,39,0.0006
cài,39,0.0006
mơ,39,0.0006
lái,39,0.0006
cười,39,0.0006
hát,38,0.0006
lần,38,0.0006
4,38,0.0006
oanh,38,0.0006
khó,37,0.0005
nhìn,37,0.0005
nhanh,37,0.0005
nx,37,0.0005
online,37,0.0005
giày,37,0.0005
việt_nam,36,0.0005
chắc,36,0.0005
như_thế_nào,36,0.0005
nam,36,0.0005
chồng,36,0.0005
tại,36,0.0005
đinh,36,0.0005
thương,36,0.0005
tới,35,0.0005
mọi,35,0.0005
làm_sao,35,0.0005
xia,35,0.0005
ghê,35,0.0005
xong,35,0.0005
thảo,35,0.0005
sau,34,0.0005
mua,34,0.0005
hai,34,0.0005
đều,34,0.0005
ly,34,0.0005
lên,34,0.0005
h,34,0.0005
thuộc,34,0.0005
đồ_ăn,34,0.0005
nơi,34,0.0005
duyên,34,0.0005
trâm,34,0.0005
thuỳ,34,0.0005
dong,34,0.0005
6,33,0.0005
chả,33,0.0005
cô_giáo,33,0.0005
ba,33,0.0005
vn,33,0.0005
tiếng_trung,33,0.0005
y,33,0.0005
thứ,33,0.0005
hoài,33,0.0005
hằng,33,0.0005
thik,32,0.0005
đài,32,0.0005
hoàng,32,0.0005
triệu,32,0.0005
hào,32,0.0005
lúc,32,0.0005
lâm,32,0.0005
bắt_đầu,32,0.0005
kh,32,0.0005
xi,31,0.0004
thị,31,0.0004
bn,31,0.0004
hồ,31,0.0004
tiên,31,0.0004
ước_mơ,31,0.0004
nhân,31,0.0004
hc,30,0.0004
nì,30,0.0004
như_vậy,30,0.0004
cạy,30,0.0004
số,30,0.0004
ông,30,0.0004
laughwithtears,30,0.0004
hơi,30,0.0004
rùi,30,0.0004
nhận,30,0.0004
giờ,30,0.0004
nhạc,30,0.0004
sảo,30,0.0004
từng,29,0.0004
hàn,29,0.0004
tỷ,29,0.0004
tưởng,29,0.0004
gái,29,0.0004
dung,29,0.0004
hiện,29,0.0004
hứa,29,0.0004
tất_cả,29,0.0004
du_học,29,0.0004
khang,29,0.0004
tiêu_thụ,28,0.0004
soái,28,0.0004
cao,28,0.0004
thu,28,0.0004
hok,28,0.0004
tỉ,28,0.0004
phong,28,0.0004
ạk,28,0.0004
hạ,28,0.0004
tự,27,0.0004
hk,27,0.0004
lam,27,0.0004
7,27,0.0004
nếu,27,0.0004
tiểu,27,0.0004
i,27,0.0004
lơ,27,0.0004
xinh,27,0.0004
cuối,27,0.0004
ah,27,0.0004
kêu,27,0.0004
mê,27,0.0004
trinh,27,0.0004
sách,27,0.0004
chơi,27,0.0004
oi,27,0.0004
món,27,0.0004
lệnh,27,0.0004
trúc,27,0.0004
ad,26,0.0004
giọng,26,0.0004
vài,26,0.0004
chào,26,0.0004
bao,26,0.0004
đài_loan,26,0.0004
ngộ,26,0.0004
đk,26,0.0004
đồ,26,0.0004
team,26,0.0004
mỉm,26,0.0004
mẹ,26,0.0004
mã,26,0.0004
kim,26,0.0004
phúc,26,0.0004
phượng,26,0.0004
đoán,25,0.0004
mất,25,0.0004
ngta,25,0.0004
gong,25,0.0004
thể,25,0.0004
bà,25,0.0004
ơ,25,0.0004
di,25,0.0004
vừa,25,0.0004
ok,25,0.0004
huy,25,0.0004
miễn_phí,24,0.0003
nghĩa_là,24,0.0003
ái,24,0.0003
tủng,24,0.0003
nghĩ,24,0.0003
trường,24,0.0003
tốt,24,0.0003
me,24,0.0003
cơ,24,0.0003
đừng,24,0.0003
lm,24,0.0003
nước,24,0.0003
clip,24,0.0003
tâm,24,0.0003
qian,24,0.0003
tình,23,0.0003
lớp,23,0.0003
phi,23,0.0003
yi,23,0.0003
động_vật,23,0.0003
bai,23,0.0003
cùng,23,0.0003
ngoài,23,0.0003
nói_chuyện,23,0.0003
long,23,0.0003
hương,23,0.0003
vương_nguyên,23,0.0003
ny,23,0.0003
quen,23,0.0003
lan,23,0.0003
chén,23,0.0003
do,22,0.0003
lấy,22,0.0003
phần,22,0.0003
thái,22,0.0003
tớ,22,0.0003
xanh,22,0.0003
đầu_tiên,22,0.0003
huhu,22,0.0003
ngon,22,0.0003
khanh,22,0.0003
nhung,22,0.0003
ban,22,0.0003
thy,22,0.0003
sơn_hà,22,0.0003
nữ,21,0.0003
bỏ,21,0.0003
chỉnh,21,0.0003
chá,21,0.0003
an_toàn,21,0.0003
trc,21,0.0003
căn,21,0.0003
phao,21,0.0003
phu,21,0.0003
xie,21,0.0003
trà,21,0.0003
trung_tâm,21,0.0003
kkk,21,0.0003
dậy,21,0.0003
ns,21,0.0003
tìm,21,0.0003
cậu,21,0.0003
mũ,21,0.0003
tiên_sinh,21,0.0003
xuân,21,0.0003
thao,20,0.0003
hsk,20,0.0003
mượn,20,0.0003
pu,20,0.0003
xìa,20,0.0003
li,20,0.0003
ô,20,0.0003
na,20,0.0003
hao,20,0.0003
chảo,20,0.0003
iu,20,0.0003
hông,20,0.0003
de,20,0.0003
khoá,20,0.0003
nhìu,20,0.0003
hi,20,0.0003
rep,20,0.0003
mỹ,20,0.0003
ngày,20,0.0003
thử,20,0.0003
nc,20,0.0003
day,20,0.0003
tú,20,0.0003
duy,20,0.0003
nhã,19,0.0003
cậy,19,0.0003
cải,19,0.0003
yang,19,0.0003
quán,19,0.0003
si,19,0.0003
hoàng_thượng,19,0.0003
wǒ,19,0.0003
lai,19,0.0003
xì,19,0.0003
chút,19,0.0003
chung,19,0.0003
0,19,0.0003
mày,19,0.0003
cry,19,0.0003
bằng,19,0.0003
du_lịch,19,0.0003
sub,19,0.0003
diệp,19,0.0003
duoshao,19,0.0003
phụng,19,0.0003
user,18,0.0003
ngôn_ngữ,18,0.0003
thường,18,0.0003
đơn_giản,18,0.0003
chuẩn_bị,18,0.0003
bao_giờ,18,0.0003
wang,18,0.0003
cổ,18,0.0003
nà,18,0.0003
lệ,18,0.0003
cúc,18,0.0003
ui,18,0.0003
ghi,18,0.0003
douyin,18,0.0003
thầy,18,0.0003
dạ,18,0.0003
phục,18,0.0003
tải,18,0.0003
cực,18,0.0003
hiền,18,0.0003
quân,18,0.0003
yuán,18,0.0003
mún,17,0.0002
cha,17,0.0002
su,17,0.0002
hỉu,17,0.0002
xa,17,0.0002
lá,17,0.0002
ôi,17,0.0002
fim,17,0.0002
má,17,0.0002
nghị,17,0.0002
vi,17,0.0002
hình,17,0.0002
he,17,0.0002
nek,17,0.0002
nguoi,17,0.0002
loan,17,0.0002
chị,17,0.0002
zhao,17,0.0002
bún,17,0.0002
hồi,16,0.0002
thông,16,0.0002
thằng,16,0.0002
xịa,16,0.0002
tây,16,0.0002
n,16,0.0002
í,16,0.0002
tống,16,0.0002
tư,16,0.0002
cuối_cùng,16,0.0002
đặng_luân,16,0.0002
mãi,16,0.0002
trời,16,0.0002
bổ_ích,16,0.0002
chửi,16,0.0002
nỗi,16,0.0002
huỳnh,16,0.0002
giang,16,0.0002
đứa,15,0.0002
bữa,15,0.0002
phiên_âm,15,0.0002
ít,15,0.0002
lương,15,0.0002
xà,15,0.0002
chư,15,0.0002
quảng,15,0.0002
đông,15,0.0002
thụ,15,0.0002
bi,15,0.0002
giới,15,0.0002
bọn,15,0.0002
bù,15,0.0002
gần,15,0.0002
quốc,15,0.0002
hoc,15,0.0002
shi,15,0.0002
riết,15,0.0002
đa_số,15,0.0002
cs,15,0.0002
chính,15,0.0002
trương,15,0.0002
33,15,0.0002
tr,15,0.0002
quý,15,0.0002
cua,15,0.0002
yummy,15,0.0002
aoec.vn,15,0.0002
kiếm,15,0.0002
88,15,0.0002
drool,15,0.0002
đời,15,0.0002
lạ,15,0.0002
cố_gắng,15,0.0002
trừ,15,0.0002
thơ,15,0.0002
đoạn,14,0.0002
tuyệt_vời,14,0.0002
vô,14,0.0002
hộ,14,0.0002
tieng,14,0.0002
dấu,14,0.0002
hải,14,0.0002
xu,14,0.0002
trá,14,0.0002
xiao,14,0.0002
sì,14,0.0002
bát,14,0.0002
dù,14,0.0002
quên,14,0.0002
sờ,14,0.0002
quan_tâm,14,0.0002
iem,14,0.0002
điểm_danh,14,0.0002
fan,14,0.0002
lộ,14,0.0002
ân,14,0.0002
trả_lời,14,0.0002
smile,14,0.0002
vd,14,0.0002
hành,14,0.0002
hoặc,14,0.0002
hãy,14,0.0002
ngôn,14,0.0002
nhờ,14,0.0002
co,14,0.0002
weibo,14,0.0002
trùng_khánh,14,0.0002
ạ,14,0.0002
shao,14,0.0002
yyds,14,0.0002
khánh,14,0.0002
nguyệt,14,0.0002
đạt,14,0.0002
tập,13,0.0002
nghe_ra,13,0.0002
mh,13,0.0002
phụ,13,0.0002
chết,13,0.0002
thai,13,0.0002
gi,13,0.0002
có,13,0.0002
lãng,13,0.0002
hình_như,13,0.0002
dân,13,0.0002
rõ,13,0.0002
quả,13,0.0002
xỉ,13,0.0002
tn,13,0.0002
buồn,13,0.0002
sợ,13,0.0002
zhong,13,0.0002
màu,13,0.0002
tệ,13,0.0002
giàu,13,0.0002
ảnh,13,0.0002
tuyền,13,0.0002
điều,13,0.0002
chinese,13,0.0002
fb,13,0.0002
chàng,13,0.0002
sống,13,0.0002
cảnh,13,0.0002
chờ,13,0.0002
đu,13,0.0002
hồng,13,0.0002
uống,13,0.0002
chen,13,0.0002
yigong,13,0.0002
666,13,0.0002
lo,13,0.0002
khôi,13,0.0002
giáo_trình,13,0.0002
diệu,13,0.0002
thắm,13,0.0002
sương,13,0.0002
rén,13,0.0002
cám_ơn,12,0.0002
lời,12,0.0002
hải_quan,12,0.0002
ghép,12,0.0002
xin_lỗi,12,0.0002
thế_là,12,0.0002
vay,12,0.0002
cưa,12,0.0002
seo,12,0.0002
tính,12,0.0002
cty,12,0.0002
thực_tế,12,0.0002
ưi,12,0.0002
03,12,0.0002
ngủ,12,0.0002
hoá_ra,12,0.0002
hongkong,12,0.0002
tu,12,0.0002
lưu,12,0.0002
khôn,12,0.0002
12,12,0.0002
9,12,0.0002
hạo,12,0.0002
đợi,12,0.0002
việc,12,0.0002
hướng_dẫn,12,0.0002
thiệt,12,0.0002
giỏi,12,0.0002
youtube,12,0.0002
thuý,12,0.0002
khó_chịu,12,0.0002
ghét,12,0.0002
kênh,12,0.0002
xihuan,12,0.0002
băng,12,0.0002
bản_thân,12,0.0002
tiến,12,0.0002
tt,12,0.0002
ying,12,0.0002
hạnh,12,0.0002
míng,12,0.0002
vương_vấn,12,0.0002
buyao,12,0.0002
wa,11,0.0002
bé,11,0.0002
đậu_phụ,11,0.0002
pao,11,0.0002
zhan,11,0.0002
